frame,type,bytes,slice_bytes,slice_qp,srcf,off,br_kbps,slot,flag,sw7,sw7_initqp,sw7_frameqp,sw105,sw106,sw107,sw172,sw173,sw243,sw244,sw247,sw6,sw22,sw11
0,I,28832,28736,32,0,0,8000,1,,0x80002000,32,32,0x001adb00,0x001adb00,0x001adb00,0x0000014f,0x00000662,0x00000000,0x00000000,0x00000000,0x0020000b,0x0000000c,0x00000000
1,P,4963,4959,35,1,0,8000,2,,0x80002300,32,35,0x0001f4d3,0x0001dbc8,0x00020ddd,0x0000014f,0x0000066a,0x04ef8800,0x00000400,0x00031f82,0x00200003,0x0000000c,0x00000001
2,P,5203,5199,33,2,0,8000,3,,0x80002100,32,33,0x0001faff,0x0001e1a5,0x00021458,0x0000014f,0x0000066a,0x0138e800,0x00000400,0x00010a42,0x00200003,0x0000000c,0x00000002
3,P,2713,2709,32,3,0,8000,4,,0x80002000,32,32,0x00020142,0x0001e798,0x00021aeb,0x0000014f,0x0000066a,0x00fe9000,0x0046b000,0x0000d802,0x00200003,0x0000000c,0x00000003
4,P,3455,3451,31,4,0,8000,5,,0x80001f00,32,31,0x00020931,0x0001ef21,0x00022340,0x0000014f,0x0000066a,0x00640000,0x0025a400,0x0000b502,0x00200003,0x0000000c,0x00000004
5,P,3664,3660,30,5,0,8000,6,,0x80001e00,32,30,0x000210fd,0x0001f689,0x00022b70,0x0000014f,0x0000066a,0x00875000,0x0043b800,0x00009d02,0x00200003,0x0000000c,0x00000005
6,P,3699,3695,29,6,0,8000,7,,0x80001d00,32,29,0x000218f6,0x0001fe1c,0x000233cf,0x0000014f,0x0000066a,0x00b37000,0x002e4400,0x00009002,0x00200003,0x0000000c,0x00000006
7,P,4193,4189,28,7,0,8000,1,,0x80001c00,32,28,0x00022139,0x000205f6,0x00023c7b,0x0000014f,0x0000066a,0x010aa000,0x003bec00,0x000081c2,0x00200003,0x0000000c,0x00000007
8,P,4053,4049,27,8,0,8000,2,,0x80001b00,32,27,0x00022982,0x00020dd5,0x0002452e,0x0000014f,0x0000066a,0x00fe4000,0x0034fc00,0x000076c2,0x00200003,0x0000000c,0x00000008
9,P,4627,4623,26,9,0,8000,3,,0x80001a00,32,26,0x00023238,0x0002161b,0x00024e54,0x0000014f,0x0000066a,0x00ae4000,0x00377800,0x00006e02,0x00200003,0x0000000c,0x00000009
10,P,4808,4804,25,10,0,8000,4,,0x80001900,32,25,0x00023aeb,0x00021e5f,0x00025776,0x0000014f,0x0000066a,0x00a53800,0x002c8400,0x00006242,0x00200003,0x0000000c,0x0000000a
11,P,5151,5147,24,11,0,8000,5,,0x80001800,32,24,0x000243de,0x000226df,0x000260dc,0x0000014f,0x0000066a,0x009c8800,0x002d6800,0x00005bc2,0x00200003,0x0000000c,0x0000000b
