frame,type,bytes,slice_bytes,slice_qp,srcf,off,br_kbps,slot,flag,sw7,sw7_initqp,sw7_frameqp,sw105,sw106,sw107,sw172,sw173,sw243,sw244,sw247,sw6,sw22,sw11
0,I,30428,30388,32,0,4,8000,1,,0x80002000,32,32,0x00000000,0x00000000,0x00000000,0x0000014f,0x00000662,0x00000000,0x00000000,0x00000000,0x00000003,0x0000000c,0x00000000
1,P,4759,4759,32,1,8,8000,2,,0x80002000,32,32,0x0001d4de,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x05406000,0x00004400,0x00386302,0x00000003,0x0000000c,0x00000001
2,P,3156,3156,31,2,12,8000,3,,0x80001f00,32,31,0x0001dff0,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x0070f800,0x0397c400,0x00125782,0x00000003,0x0000000c,0x00000002
3,P,4624,4624,29,3,16,8000,4,,0x80001d00,32,29,0x0001ecc0,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x01247800,0x00fd4c00,0x0011c882,0x00000003,0x0000000c,0x00000003
4,P,6300,6300,27,4,20,8000,5,,0x80001b00,32,27,0x0001f7fd,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x00a24800,0x01fea800,0x00109702,0x00000003,0x0000000c,0x00000004
5,P,5789,5789,26,5,24,8000,6,,0x80001a00,32,26,0x0001ef1a,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x0188e800,0x02b0ac00,0x000f9742,0x00000003,0x0000000c,0x00000005
6,P,6740,6740,25,6,28,8000,7,,0x80001900,32,25,0x0001f824,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x012c1000,0x01d59000,0x000db502,0x00000003,0x0000000c,0x00000006
7,P,7256,7256,24,7,32,8000,1,,0x80001800,32,24,0x00020031,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x009e0000,0x00a8d000,0x000c1cc2,0x00000003,0x0000000c,0x00000007
8,P,7205,7205,23,8,36,8000,2,,0x80001700,32,23,0x000207b4,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x00f38800,0x00d4a800,0x000b4f02,0x00000003,0x0000000c,0x00000008
9,P,7191,7191,22,9,40,8000,3,,0x80001600,32,22,0x00020f45,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x0127b000,0x0135e400,0x000a40c2,0x00000003,0x0000000c,0x00000009
10,P,8017,8017,21,10,44,8000,4,,0x80001500,32,21,0x000216d9,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x0145a000,0x00b1e800,0x00092a42,0x00000003,0x0000000c,0x0000000a
11,P,8585,8585,20,11,48,8000,5,,0x80001400,32,20,0x00021d92,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x00b21800,0x00f14400,0x00082b02,0x00000003,0x0000000c,0x0000000b
12,P,9180,9180,19,12,52,8000,6,,0x80001300,32,19,0x000223b2,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x00f38800,0x00c22800,0x0007c5c2,0x00000003,0x0000000c,0x0000000c
13,P,9615,9615,18,13,56,8000,7,,0x80001200,32,18,0x00022935,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x012e5800,0x00b9f400,0x0007c902,0x00000003,0x0000000c,0x0000000d
14,P,9701,9701,17,14,60,8000,1,,0x80001100,32,17,0x00022e43,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x011e0000,0x00e23000,0x00071542,0x00000003,0x0000000c,0x0000000e
15,P,8922,8922,16,15,64,8000,2,,0x80001000,32,16,0x0002333a,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x00c64000,0x009eec00,0x00063e82,0x00000003,0x0000000c,0x0000000f
16,P,8066,8066,15,16,68,8000,3,,0x80000f00,32,15,0x00023901,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x00a0a000,0x006e8400,0x00051f42,0x00000003,0x0000000c,0x00000010
17,P,8136,8136,14,17,72,8000,4,,0x80000e00,32,14,0x00023fac,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x00712800,0x00a30c00,0x00047342,0x00000003,0x0000000c,0x00000011
18,P,8416,8416,13,18,76,8000,5,,0x80000d00,32,13,0x00024645,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x00bdb000,0x009b6400,0x00040502,0x00000003,0x0000000c,0x00000012
19,P,8288,8288,12,19,80,8000,6,,0x80000c00,32,12,0x00024c92,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x00fe2000,0x007da800,0x00039f82,0x00000003,0x0000000c,0x00000013
20,P,7941,7941,11,20,84,8000,7,,0x80000b00,32,11,0x00025302,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x00961000,0x00b05c00,0x000363c2,0x00000003,0x0000000c,0x00000014
21,P,8203,8203,10,21,88,8000,1,,0x80000a00,32,10,0x000259cf,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x00972000,0x00748000,0x00032fc2,0x00000003,0x0000000c,0x00000015
22,P,7082,7082,10,22,92,8000,2,,0x80000a00,32,10,0x00026056,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x008be800,0x0037b400,0x0002fd42,0x00000003,0x0000000c,0x00000016
23,P,8317,8317,10,23,96,8000,3,,0x80000a00,32,10,0x00026807,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x009fa800,0x001cc400,0x00031902,0x00000003,0x0000000c,0x00000017
24,P,8580,8580,10,24,100,8000,4,,0x80000a00,32,10,0x00026e70,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x0068a800,0x003a9800,0x00047002,0x00000003,0x0000000c,0x00000018
25,P,3845,3845,10,25,104,8000,5,,0x80000a00,32,10,0x00027492,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x00ad8800,0x008c5000,0x00053742,0x00000003,0x0000000c,0x00000019
26,P,2689,2689,10,26,108,8000,6,,0x80000a00,32,10,0x00027fa2,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x0066e800,0x0020d400,0x0002ffc2,0x00000003,0x0000000c,0x0000001a
27,P,2459,2459,10,27,112,8000,7,,0x80000a00,32,10,0x00028be8,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x0044a000,0x000a2800,0x00027a82,0x00000003,0x0000000c,0x0000001b
28,P,2042,2042,10,28,116,8000,1,,0x80000a00,32,10,0x0002986a,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x004a5000,0x000bb000,0x000274c2,0x00000003,0x0000000c,0x0000001c
29,P,1749,1749,10,29,120,8000,2,,0x80000a00,32,10,0x0002a55c,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x00785000,0x00137400,0x00026b82,0x00000003,0x0000000c,0x0000001d
30,I,74596,74556,13,28,124,8000,3,,0x80000d00,32,13,0x00000000,0x00000000,0x00000000,0x0000014f,0x00000662,0x05406000,0x00004400,0x00386302,0x00000003,0x0000000c,0x00000000
31,P,3447,3447,12,27,128,8000,4,,0x80000c00,32,12,0x0002836e,0x00000000,0x0003fbcf,0x0000014f,0x0000066a,0x00403800,0x00095000,0x00026c02,0x00000003,0x0000000c,0x00000001
32,P,4332,4332,11,26,132,8000,5,,0x80000b00,32,11,0x00028dbd,0x00000000,0x00040b88,0x0000014f,0x0000066a,0x005c8000,0x002d8800,0x0002a202,0x00000003,0x0000000c,0x00000002
33,P,5301,5301,10,25,136,8000,6,,0x80000a00,32,10,0x00029721,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x005cb800,0x0027f800,0x0002ff82,0x00000003,0x0000000c,0x00000003
34,P,5025,5025,10,24,140,8000,7,,0x80000a00,32,10,0x00029f82,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x00712000,0x0036e000,0x00038342,0x00000003,0x0000000c,0x00000004
35,P,4048,4048,10,23,144,8000,1,,0x80000a00,32,10,0x0002a82c,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x0062a000,0x00664000,0x000369c2,0x00000003,0x0000000c,0x00000005
36,P,2704,2704,10,22,148,8000,2,,0x80000a00,32,10,0x0002b1db,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x0044f000,0x00317400,0x0002cb82,0x00000003,0x0000000c,0x00000006
37,P,2349,2349,10,21,152,8000,3,,0x80000a00,32,10,0x0002bcf1,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x004af800,0x0012dc00,0x00024582,0x00000003,0x0000000c,0x00000007
38,P,1653,1653,10,20,156,8000,4,,0x80000a00,32,10,0x0002c865,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x00466000,0x000bc800,0x00023082,0x00000003,0x0000000c,0x00000008
39,P,1737,1737,10,19,160,8000,5,,0x80000a00,32,10,0x0002d493,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x005ae800,0x0018fc00,0x00022182,0x00000003,0x0000000c,0x00000009
40,P,1848,1848,10,18,164,8000,6,,0x80000a00,32,10,0x0002e0aa,0x00000000,0x000411aa,0x0000014f,0x0000066a,0x00432800,0x000a6400,0x00022842,0x00000003,0x0000000c,0x0000000a
