frame,type,bytes,slice_bytes,slice_qp,srcf,off,br_kbps,slot,flag,sw7,sw7_initqp,sw7_frameqp,sw105,sw106,sw107,sw172,sw173,sw243,sw244,sw247,sw6,sw22,sw11
0,I,28832,28737,32,0,0,16000,1,,0x68002000,26,32,0x0035b600,0x0035b600,0x0035b600,0x0000014f,0x00000662,0x00000000,0x00000000,0x00000000,0x0020000b,0x0000000c,0x00000000
1,P,4964,4960,35,1,0,16000,2,,0x68002300,26,35,0x00041911,0x0003e49c,0x00044d85,0x0000014f,0x0000066a,0x04ef8800,0x00000400,0x00031f82,0x00200003,0x0000000c,0x00000001
2,P,5203,5199,33,2,0,16000,3,,0x68002100,26,33,0x00042908,0x0003f3c7,0x00045e48,0x0000014f,0x0000066a,0x0138e800,0x00000400,0x00010a42,0x00200003,0x0000000c,0x00000002
3,P,2713,2709,32,3,0,16000,4,,0x68002000,26,32,0x00043971,0x0004035e,0x00046f83,0x0000014f,0x0000066a,0x00fe9000,0x0046b000,0x0000d802,0x00200003,0x0000000c,0x00000003
4,P,3455,3451,31,4,0,16000,5,,0x68001f00,26,31,0x00044be5,0x000414e6,0x000482e3,0x0000014f,0x0000066a,0x00640000,0x0025a400,0x0000b502,0x00200003,0x0000000c,0x00000004
5,P,3664,3660,30,5,0,16000,6,,0x68001e00,26,30,0x00045e9d,0x000426ae,0x0004968b,0x0000014f,0x0000066a,0x00875000,0x0043b800,0x00009d02,0x00200003,0x0000000c,0x00000005
6,P,3699,3695,29,6,0,16000,7,,0x68001d00,26,29,0x000471ec,0x00043906,0x0004aad1,0x0000014f,0x0000066a,0x00b37000,0x002e4400,0x00009002,0x00200003,0x0000000c,0x00000006
7,P,4193,4189,28,7,0,16000,1,,0x68001c00,26,28,0x000485f8,0x00044c12,0x0004bfde,0x0000014f,0x0000066a,0x010aa000,0x003bec00,0x000081c2,0x00200003,0x0000000c,0x00000007
8,P,4053,4049,27,8,0,16000,2,,0x68001b00,26,27,0x00049a82,0x00045f95,0x0004d56e,0x0000014f,0x0000066a,0x00fe4000,0x0034fc00,0x000076c2,0x00200003,0x0000000c,0x00000008
9,P,4627,4623,26,9,0,16000,3,,0x68001a00,26,26,0x0004aff9,0x000473f9,0x0004ebf8,0x0000014f,0x0000066a,0x00ae4000,0x00377800,0x00006e02,0x00200003,0x0000000c,0x00000009
