frame,type,bytes,slice_bytes,slice_qp,srcf,off,br_kbps,slot,flag,sw7,sw7_initqp,sw7_frameqp,sw105,sw106,sw107,sw172,sw173,sw243,sw244,sw247,sw6,sw22,sw11
0,I,23659,23563,35,0,0,2000,1,,0x90002300,36,35,0x00000000,0x00000000,0x00000000,0x0000014f,0x00000662,0x00000000,0x00000000,0x00000000,0x0020000b,0x0000000c,0x00000000
1,P,13373,13369,38,1,540,2000,2,,0x90002600,36,38,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x04802800,0x00001800,0x00040b42,0x00200003,0x0000000c,0x00000001
2,P,10168,10164,40,2,1080,2000,3,,0x90002800,36,40,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x03bea800,0x00003000,0x000495c2,0x00200003,0x0000000c,0x00000002
3,P,7457,7453,42,3,1620,2000,4,,0x90002a00,36,42,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x0437d800,0x00002000,0x0004fa82,0x00200003,0x0000000c,0x00000003
4,P,5023,5019,44,4,2160,2000,5,,0x90002c00,36,44,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x02e83000,0x00002800,0x00054802,0x00200003,0x0000000c,0x00000004
5,P,3456,3452,46,5,2700,2000,6,,0x90002e00,36,46,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x030f9800,0x00002000,0x0005cd02,0x00200003,0x0000000c,0x00000005
6,P,2739,2735,48,6,3240,2000,7,,0x90003000,36,48,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x019fb800,0x00002800,0x000650c2,0x00200003,0x0000000c,0x00000006
7,P,2726,2722,50,7,3780,2000,1,,0x90003200,36,50,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x0340c800,0x004db000,0x00067a42,0x00200003,0x0000000c,0x00000007
8,P,2538,2534,51,8,4320,2000,2,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x01b18000,0x006a0c00,0x0006a902,0x00200003,0x0000000c,0x00000008
9,P,2556,2552,51,9,4860,2000,3,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x03b2e000,0x00c06c00,0x0006a0c2,0x00200003,0x0000000c,0x00000009
10,P,2467,2463,51,10,5400,2000,4,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x0225e800,0x00660400,0x0006d742,0x00200003,0x0000000c,0x0000000a
11,P,2512,2508,51,11,5940,2000,5,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x03d65800,0x00662c00,0x0006be82,0x00200003,0x0000000c,0x0000000b
12,P,2434,2430,51,12,6480,2000,6,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x01e94000,0x00661800,0x0006d142,0x00200003,0x0000000c,0x0000000c
13,P,2550,2546,51,13,7020,2000,7,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x038c5000,0x00662c00,0x0006b582,0x00200003,0x0000000c,0x0000000d
14,P,2467,2463,51,14,7560,2000,1,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x01e5c000,0x00661400,0x0006ee42,0x00200003,0x0000000c,0x0000000e
15,P,2519,2515,51,15,8100,2000,2,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x03b2c800,0x008c2800,0x00069dc2,0x00200003,0x0000000c,0x0000000f
16,P,2481,2477,51,16,8640,2000,3,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x0185f800,0x00779c00,0x0006d202,0x00200003,0x0000000c,0x00000010
17,P,2514,2510,51,17,9180,2000,4,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x029de000,0x03309c00,0x0006b282,0x00200003,0x0000000c,0x00000011
