frame,type,bytes,slice_bytes,slice_qp,srcf,off,br_kbps,slot,flag,sw7,sw7_initqp,sw7_frameqp,sw105,sw106,sw107,sw172,sw173,sw243,sw244,sw247,sw6,sw22,sw11
0,I,30843,30803,32,0,0,16000,1,,0x68002000,26,32,0x0035b600,0x0035b600,0x0035b600,0x0000014f,0x00000662,0x00000000,0x00000000,0x00000000,0x00000003,0x0000000c,0x00000000
1,P,8800,8800,35,1,0,16000,2,,0x68002300,26,35,0x000415c3,0x0003e179,0x00044a0c,0x0000014f,0x0000066a,0x02ca4000,0x00004400,0x0037c0c2,0x00000003,0x0000000c,0x00000001
2,P,10590,10590,33,2,0,16000,3,,0x68002100,26,33,0x00042386,0x0003ee8c,0x0004587f,0x0000014f,0x0000066a,0x038b3000,0x0037e000,0x00121182,0x00000003,0x0000000c,0x00000002
3,P,7118,7118,32,3,0,16000,4,,0x68002000,26,32,0x000430c5,0x0003fb21,0x00046668,0x0000014f,0x0000066a,0x022e5800,0x006e8400,0x000f1182,0x00000003,0x0000000c,0x00000003
4,P,7369,7369,31,4,0,16000,5,,0x68001f00,26,31,0x00044085,0x00040a17,0x000476f2,0x0000014f,0x0000066a,0x01a9e000,0x00430000,0x000d15c2,0x00000003,0x0000000c,0x00000004
5,P,7015,7015,30,5,0,16000,6,,0x68001e00,26,30,0x000450b6,0x00041979,0x000487f2,0x0000014f,0x0000066a,0x01669000,0x00810800,0x000ba042,0x00000003,0x0000000c,0x00000005
6,P,7704,7704,29,6,0,16000,7,,0x68001d00,26,29,0x000461be,0x000429a7,0x000499d4,0x0000014f,0x0000066a,0x01380800,0x005b3800,0x000a5502,0x00000003,0x0000000c,0x00000006
7,P,7509,7509,28,7,0,16000,1,,0x68001c00,26,28,0x00047304,0x00043a10,0x0004abf7,0x0000014f,0x0000066a,0x01148800,0x004e4400,0x00096542,0x00000003,0x0000000c,0x00000007
8,P,8423,8423,27,8,0,16000,2,,0x68001b00,26,27,0x0004851a,0x00044b3f,0x0004bef4,0x0000014f,0x0000066a,0x0113e800,0x003ecc00,0x00088ec2,0x00000003,0x0000000c,0x00000008
9,P,8052,8052,26,9,0,16000,3,,0x68001a00,26,26,0x00049758,0x00045c93,0x0004d21c,0x0000014f,0x0000066a,0x010c8800,0x003e8c00,0x0007af42,0x00000003,0x0000000c,0x00000009
