frame,type,bytes,slice_bytes,slice_qp,srcf,off,br_kbps,slot,flag,sw7,sw7_initqp,sw7_frameqp,sw105,sw106,sw107,sw172,sw173,sw243,sw244,sw247,sw6,sw22,sw11
0,I,23659,23563,35,0,0,2000,1,,0x90002300,36,35,0x00000000,0x00000000,0x00000000,0x0000014f,0x00000662,0x00000000,0x00000000,0x00000000,0x0020000b,0x0000000c,0x00000000
1,P,543,539,38,1,0,2000,2,,0x90002600,36,38,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x04802800,0x00001800,0x00040b42,0x00200003,0x0000000c,0x00000001
2,P,126,122,40,2,0,2000,3,,0x90002800,36,40,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00863800,0x0041ac00,0x0001a242,0x00200003,0x0000000c,0x00000002
3,P,118,114,41,3,0,2000,4,,0x90002900,36,41,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00018c02,0x00200003,0x0000000c,0x00000003
4,P,76,72,42,4,0,2000,5,,0x90002a00,36,42,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00018842,0x00200003,0x0000000c,0x00000004
5,P,74,70,43,5,0,2000,6,,0x90002b00,36,43,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00018802,0x00200003,0x0000000c,0x00000005
6,P,66,62,44,6,0,2000,7,,0x90002c00,36,44,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00018802,0x00200003,0x0000000c,0x00000006
7,P,66,62,45,7,0,2000,1,,0x90002d00,36,45,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00018802,0x00200003,0x0000000c,0x00000007
8,P,66,62,46,8,0,2000,2,,0x90002e00,36,46,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00018802,0x00200003,0x0000000c,0x00000008
9,P,66,62,47,9,0,2000,3,,0x90002f00,36,47,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00018802,0x00200003,0x0000000c,0x00000009
10,P,66,62,48,10,0,2000,4,,0x90003000,36,48,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00018802,0x00200003,0x0000000c,0x0000000a
11,P,66,62,49,11,0,2000,5,,0x90003100,36,49,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00018802,0x00200003,0x0000000c,0x0000000b
12,P,66,62,50,12,0,2000,6,,0x90003200,36,50,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00018802,0x00200003,0x0000000c,0x0000000c
13,P,67,63,51,13,0,2000,7,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00018802,0x00200003,0x0000000c,0x0000000d
14,P,67,63,51,14,0,2000,1,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00018802,0x00200003,0x0000000c,0x0000000e
15,P,2900,2896,51,15,540,2000,2,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00018802,0x00200003,0x0000000c,0x0000000f
16,P,313,309,51,16,540,2000,3,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00cec800,0x0a6ca800,0x0006de42,0x00200003,0x0000000c,0x00000010
17,P,176,172,51,17,540,2000,4,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00454800,0x00005400,0x0005ac02,0x00200003,0x0000000c,0x00000011
18,P,160,156,51,18,540,2000,5,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x0040c000,0x00000400,0x0005b442,0x00200003,0x0000000c,0x00000012
19,P,154,150,51,19,540,2000,6,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x0040c000,0x00000400,0x0005b282,0x00200003,0x0000000c,0x00000013
20,P,156,152,51,20,540,2000,7,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x0040c000,0x00000400,0x0005b602,0x00200003,0x0000000c,0x00000014
21,P,157,153,51,21,540,2000,1,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x0040b000,0x00000400,0x0005b942,0x00200003,0x0000000c,0x00000015
22,P,149,145,51,22,540,2000,2,,0x90003300,36,51,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x0040b000,0x00000400,0x0005bb02,0x00200003,0x0000000c,0x00000016
